Indikator,Tipe,preprocessed_text
kalau saya sendiri lebih memilih menunggu teman-teman yang lain ,F,pilih tunggu teman teman
menunggu,F,tunggu
"Jika ujian saya akan menunggu teman2 yang lain selesai menjawab seluruh pertanyaan, dengan alasan saya bisa mengoreksi ujiannya lebih lama lagi manatau jawaban saya ada yang kurang diteliti. Sedangkan kalau tugas, saya akan mengumpulkan lebih dulu.",F,uji tunggu teman selesai alas koreksi uji manatau teliti tugas kumpul
Mengulang ke soal no 1 smpe selesai selagi ada waktu gunakan untuk mengecek lagi,T,ulang smpe selesai selagi ecek
menunggu teman-teman yang lain selesai menjawab seluruh pertanyaan,F,tunggu teman teman selesai
Mengumpulkan lebih dahulu,T,kumpul
menunggu teman,F,tunggu teman
"Sambil menunggu jam habis,saya akan mengoreksi jawaban saya apakah sudah benar atau belum",T,tunggu jam habis koreksi
Mengumpulkan lebih dahulu,T,kumpul
Biasanya saya menunggu ada teman yang mengumpulkan.,F,tunggu teman kumpul
menunggu teman-teman yang lain,F,tunggu teman teman
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan ,F,tunggu teman teman selesai
Memikirkan terlebih dahulu jawaban saya sebelum saya benar benar yakin mengumpulkannya jika ujian itu penting bagi saya,T,pikir kumpul uji
mengumpulkan terlebih dahulu,T,kumpul
"saya akan mengecheck jawaban saya terlebih dahulu, dan meyakinkan apakah tidak ada soal yang terlewat jika saya sudah yakin baru saya akan mengumpulkan jawaban tersebut.",T,mengecheck lewat kumpul
"Saya akan menunggu teman lain selesai menjawab, hal itu saya lakukan agar tidak membuat teman saya yang lain merasa panik dan tetap fokus dalam ujian",F,tunggu teman selesai laku teman panik fokus uji
Saya akan menunggu teman teman saya mengumpulkan atau menunggu hingga tersisa 5-10 menit baru akan saya kumpulkan ,F,tunggu teman teman kumpul tunggu sisa menit kumpul
"Tidak mengumpulkan terlebih dahulu, kita bisa mengkoreksi jawaban terlebih dahulu",T,kumpul koreksi
menunggu teman teman terlebih dahulu ,F,tunggu teman teman
Saya sendiri lebih menunggu teman teman yang lain terlebih dahulu ,F,tunggu teman teman
Mengumpulkan terlebih dahulu,T,kumpul
menunggu,F,tunggu
Saya akan selalu mengecek lagi dan lagi sampai saya mantap dan srek dengan jawaban tersebut dan menunggu waktu habis,T,ecek mantap srek tunggu habis
mengoreksi ulang dengan benar dan mengumpulkannya,T,koreksi ulang kumpul
menunggu teman yang lain ,F,tunggu teman
"saya jarang mengumpulkan terlebih dahulu, tetapi saat saya menunggu teman"", saya gunakan waktunya untuk meneliti jawaban"" saya",F,jarang kumpul tunggu teman teliti
menunggu teman teman yang lain selesai,F,tunggu teman teman selesai
Menunggu teman teman dan mengoreksi ujian tersebut ,F,tunggu teman teman koreksi uji
tergantung keraguan saya kalau masih ragu saya akan menunggu teman jika sudah yakin saya akan mengumpulkan dahulu ,F,gantung ragu ragu tunggu teman kumpul
"menunggu teman"" saya dan saya mengoreksi jawaban saya kembali",F,tunggu teman koreksi
"saya akan mengoreksi jawaban saya dahulu dan akan mengumpulkan saat teman"" sudah mengumpulkan",F,koreksi kumpul teman kumpul
"Saya akan mengumpulkannya ketika teman-teman saya sudah menjawab semua pertanyaan, dan juga mengisi waktu luang dengan cara mengkoreksi ulang",F,kumpul teman teman isi luang koreksi ulang
"saya akan mengecek ulang ujian saya, dan menunggu teman saya mengumpulkan karena jika teman saya belum maka saya bisa membantu ",F,ecek ulang uji tunggu teman kumpul teman bantu
"Menunggu teman""untuk menyelesaikan bersama""",F,tunggu teman selesai
menunggu teman teman selesai sambil mengecek/membaca soal kembali ,F,tunggu teman teman selesai ecek baca
Saya akan menunggu temen-teman saya lebih dahulu sembari mengecek hasil jawaban ujian saya,F,tunggu temen teman sembari ecek hasil uji
menunggu teman temen yang lain,F,tunggu teman temen
Saya akan menunggu teman teman saya selesai menjawab dan mengumpulkan bersama teman teman,F,tunggu teman teman selesai kumpul teman teman
menunggu teman teman ,F,tunggu teman teman
